#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000055	2010-06-15	2010.453425	2009.879372	2010.453425
Singapore|NA|JN380847|SG_EHI_D2/14161Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030231|SG_EHI_D2/08418Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000058	2010-06-15	2010.453425	2009.879372	2010.453425
Singapore|NA|JN380853|SG_EHI_D2/89943Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030226|SG_EHI_D2/18899Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000059	2009-06-27	2009.485909	2008.427310	2010.453425
NODE_0000060	2009-11-26	2009.903539	2009.157195	2010.453425
NODE_0000062	2010-06-15	2010.453425	2009.879372	2010.453425
Singapore|NA|JN030227|SG_EHI_D2/82177Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN380855|SG_EHI_D2/91527Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000064	2010-06-15	2010.453425	2009.879372	2010.453425
Singapore|NA|JN030229|SG_EHI_D2/50284Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030276|SG_EHI_D2/20105Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000067	2009-11-26	2009.903539	2009.157195	2010.453425
NODE_0000068	2010-06-15	2010.453425	2009.879372	2010.453425
Singapore|NA|JN380854|SG_EHI_D2/40160Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030222|SG_EHI_D2/36098Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000069	2010-06-15	2010.453425	2009.879372	2010.453425
Singapore|NA|MW512359|SG_EHI_D2/EHI40160OCT10Y10|Dengue_2|WG|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|KM279606|SG_EHI_D291527Y10|Dengue_2|WG|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0002458	2009-01-21	2009.057307	2008.395474	2009.780404
Singapore|NA|JN196597|SG_EHI_D2/13718Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN380858|SG_EHI_D2/10356Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030324|SG_EHI_D2/22044Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030287|SG_EHI_D2/48647Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN380859|SG_EHI_D2/08340Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0002470	2010-01-10	2010.025060	2009.386023	2010.411250
Singapore|NA|JN030314|SG_EHI_D2/90962Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN196598|SG_EHI_D2/10819Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0002472	2010-06-15	2010.453425	2009.684619	2010.453425
Singapore|NA|JN030262|SG_EHI_D2/15486Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030263|SG_EHI_D2/99085Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0002473	2010-06-15	2010.453425	2009.684619	2010.453425
Singapore|NA|JN030307|SG_EHI_D2/19211Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|KM279608|SG_EHI_D219211Y10|Dengue_2|WG|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0002463	2009-09-20	2009.720329	2009.062167	2010.354894
Singapore|NA|JN030313|SG_EHI_D2/15512Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000077	2010-02-26	2010.154896	2009.563617	2010.453425
Singapore|NA|JN196596|SG_EHI_D2/40374Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000079	2010-06-15	2010.453425	2010.016778	2010.453425
Singapore|NA|JN544381|SG_EHI_D2/66304Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030297|SG_EHI_D2/73051Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000080	2009-03-24	2009.226428	2008.009290	2010.443696
NODE_0000081	2009-12-01	2009.915239	2009.105446	2010.453425
Singapore|NA|JN030251|SG_EHI_D2/14420Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000082	2010-06-15	2010.453425	2009.845222	2010.453425
Singapore|NA|MW510242|SG_EHI_D2/11033Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030267|SG_EHI_D2/04014Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000083	2009-05-23	2009.391718	2008.308418	2010.453425
NODE_0000085	2009-08-17	2009.626561	2008.732469	2010.453425
NODE_0000086	2009-12-15	2009.954238	2009.305897	2010.453425
NODE_0000087	2010-06-15	2010.453425	2009.941367	2010.453425
Singapore|NA|JN196585|SG_EHI_D2/53215Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JF968051||Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000088	2010-06-15	2010.453425	2009.941367	2010.453425
Singapore|NA|JN030259|SG_EHI_D2/60793Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030256|SG_EHI_D2/46701Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000090	2009-12-15	2009.954238	2009.305897	2010.453425
NODE_0000092	2010-06-15	2010.453425	2009.941367	2010.453425
Singapore|NA|JN196584|SG_EHI_D2/12169Y09|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030253|SG_EHI_D2/24859Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000093	2010-06-15	2010.453425	2009.941367	2010.453425
Singapore|NA|JN030306|SG_EHI_D2/68975Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|MW512361|SG_EHI_D2/EHI06169SEP10Y10|Dengue_2|WG|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000094	2009-08-17	2009.626561	2008.732469	2010.453425
NODE_0000097	2009-12-15	2009.954238	2009.305897	2010.453425
NODE_0000098	2010-06-15	2010.453425	2009.941367	2010.453425
Singapore|NA|JN196593|SG_EHI_D2/06169Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030252|SG_EHI_D2/11033Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000099	2010-06-15	2010.453425	2009.941367	2010.453425
Singapore|NA|JN030257|SG_EHI_D2/84454Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030293|SG_EHI_D2/67872Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000103	2009-12-15	2009.954238	2009.305897	2010.453425
NODE_0000105	2010-06-15	2010.453425	2009.941367	2010.453425
Singapore|NA|JN030250|SG_EHI_D2/52484Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030254|SG_EHI_D2/75655Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000106	2010-06-15	2010.453425	2009.941367	2010.453425
Singapore|NA|JN030258|SG_EHI_D2/96504Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030255|SG_EHI_D2/69775Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0002491	2007-04-05	2007.257944	2005.343742	2009.293323
NODE_0000116	2008-07-25	2008.565278	2006.952937	2010.068874
Singapore|NA|JN030304|SG_EHI_D2/92383Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000109	2009-05-17	2009.375093	2007.912570	2010.453425
NODE_0000110	2010-01-12	2010.032236	2009.146295	2010.453425
Singapore|NA|JN380848|SG_EHI_D2/21001Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000111	2010-06-15	2010.453425	2009.854594	2010.453425
Singapore|NA|JN030239|SG_EHI_D2/10691Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030242|SG_EHI_D2/45230Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000112	2009-11-21	2009.889338	2008.936443	2010.453425
NODE_0000114	2010-06-15	2010.453425	2009.786720	2010.453425
Singapore|NA|JN030305|SG_EHI_D2/88438Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030240|SG_EHI_D2/40677Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000115	2010-06-15	2010.453425	2009.786720	2010.453425
Singapore|NA|JN380849|SG_EHI_D2/11651Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030241|SG_EHI_D2/59008Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0002499	2007-10-23	2007.808808	2006.167195	2009.519923
NODE_0002500	2010-06-15	2010.453425	2009.286246	2010.453425
Singapore|NA|JN030288|SG_EHI_D2/95136Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030289|SG_EHI_D2/57918Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000118	2010-06-15	2010.453425	2008.858229	2010.453425
Singapore|NA|MW512358|SG_EHI_D2/EHI68414JAN10Y10|Dengue_2|WG|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN380850|SG_EHI_D2/68414Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0002503	2008-02-28	2008.158541	2006.699635	2009.687706
Singapore|NA|JN544352|SG_EHI_D2/25528Y11|Dengue_2|E|External|2011-06-15|2011.45205479452	2011-06-15	2011.453425	2011.453425	2011.453425
NODE_0002504	2008-06-10	2008.441512	2007.119977	2009.831516
Singapore|NA|JN544377|SG_EHI_D2/13220Y11|Dengue_2|E|External|2011-04-15|2011.28493150685	2011-04-15	2011.286301	2011.286301	2011.286301
NODE_0002667	2008-11-22	2008.892435	2007.871727	2009.967055
Singapore|NA|JN030312|SG_EHI_D2/23451Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030320|SG_EHI_D2/77404Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030291|SG_EHI_D2/90076Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030308|SG_EHI_D2/90821Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0002669	2010-06-15	2010.453425	2009.617057	2010.453425
Singapore|NA|JN380846|SG_EHI_D2/60215Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|MW512357|SG_EHI_D2/EHI60215SEP10Y10|Dengue_2|WG|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000124	2009-03-19	2009.212596	2007.924937	2010.453425
NODE_0000125	2010-06-15	2010.453425	2009.491484	2010.453425
Singapore|NA|JN030284|SG_EHI_D2/86718Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030294|SG_EHI_D2/09360Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000128	2009-07-22	2009.554104	2008.542942	2010.453425
NODE_0000129	2009-12-11	2009.942538	2009.223634	2010.453425
NODE_0000130	2010-06-15	2010.453425	2009.900667	2010.453425
Singapore|NA|JN030295|SG_EHI_D2/24689Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN196602|SG_EHI_D2/68421Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000131	2010-06-15	2010.453425	2009.900667	2010.453425
Singapore|NA|JN380852|SG_EHI_D2/12611Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030298|SG_EHI_D2/40898Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000133	2009-12-11	2009.942538	2009.223634	2010.453425
NODE_0000134	2010-06-15	2010.453425	2009.900667	2010.453425
Singapore|NA|JN380851|SG_EHI_D2/06249Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|KM279610|SG_EHI_D284666Y10|Dengue_2|WG|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000135	2010-06-15	2010.453425	2009.900667	2010.453425
Singapore|NA|JN030283|SG_EHI_D2/59849Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN196603|SG_EHI_D2/84666Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0002670	2009-09-16	2009.708544	2008.945499	2010.421737
Singapore|NA|JN196608|SG_EHI_D2/87180Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000138	2010-06-15	2010.453425	2009.712986	2010.453425
