Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Molecule_type,Length,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
OQ028212,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,44DX3-386,Dengue virus,ssRNA(+),1485,Viet Nam,Viet Nam,,Homo sapiens,blood,2020-11-30
OQ028213,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,44DX3-311,Dengue virus,ssRNA(+),1485,Viet Nam,Viet Nam,,Homo sapiens,blood,2019-07-23
OQ028214,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,44DX3-297,Dengue virus,ssRNA(+),1485,Viet Nam,Viet Nam,,Homo sapiens,blood,2019-06-10
OQ028215,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,53DX-123-102,Dengue virus,ssRNA(+),10173,Viet Nam,Viet Nam,,Homo sapiens,blood,2019-08-14
OQ028216,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,56DX-114-401,Dengue virus,ssRNA(+),10173,Viet Nam,Viet Nam,,Homo sapiens,blood,2022-05-25
OQ028217,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,28EI-003-001,Dengue virus,ssRNA(+),10173,Viet Nam,Viet Nam,,Homo sapiens,blood,2019-06-07
OQ028218,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,28EI-003-060,Dengue virus,ssRNA(+),10173,Viet Nam,Viet Nam,,Homo sapiens,blood,2019-10-14
OQ028219,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,28EI-003-099,Dengue virus,ssRNA(+),10173,Viet Nam,Viet Nam,,Homo sapiens,blood,2020-01-15
OQ028220,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,28EI-003-031,Dengue virus,ssRNA(+),10173,Viet Nam,Viet Nam,,Homo sapiens,blood,2019-08-14
OQ028221,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,28EI-003-077,Dengue virus,ssRNA(+),10173,Viet Nam,Viet Nam,,Homo sapiens,blood,2019-11-13
OQ028222,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,28EI-003-004,Dengue virus,ssRNA(+),10173,Viet Nam,Viet Nam,,Homo sapiens,blood,2019-06-25
OQ028223,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,28EI-003-090,Dengue virus,ssRNA(+),10173,Viet Nam,Viet Nam,,Homo sapiens,blood,2019-12-16
OQ028224,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,28EI-003-043,Dengue virus,ssRNA(+),10173,Viet Nam,Viet Nam,,Homo sapiens,blood,2019-09-09
OQ028225,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,28EI-003-118,Dengue virus,ssRNA(+),10173,Viet Nam,Viet Nam,,Homo sapiens,blood,2020-09-23
OQ028226,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,28EI-003-024,Dengue virus,ssRNA(+),10173,Viet Nam,Viet Nam,,Homo sapiens,blood,2019-08-01
OQ028227,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,28EI-003-022,Dengue virus,ssRNA(+),10173,Viet Nam,Viet Nam,,Homo sapiens,blood,2019-07-31
OQ028228,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,28EI-003-005,Dengue virus,ssRNA(+),10173,Viet Nam,Viet Nam,,Homo sapiens,blood,2019-06-26
OQ028229,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,44DX3-194,Dengue virus,ssRNA(+),10173,Viet Nam,Viet Nam,,Homo sapiens,blood,2017-08-03
OQ028230,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,44DX3-359,Dengue virus,ssRNA(+),10173,Viet Nam,Viet Nam,,Homo sapiens,blood,2020-09-07
OQ028231,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,44DX3-250,Dengue virus,ssRNA(+),10173,Viet Nam,Viet Nam,,Homo sapiens,blood,2018-01-17
OQ028232,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,44DX3-329,Dengue virus,ssRNA(+),10173,Viet Nam,Viet Nam,,Homo sapiens,blood,2020-03-02
OP984834,"Su,W., Cao,Y., Lu,W.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunology",China,2022-12-17T00:00:00Z,22GZ11862_VNM,Dengue virus,ssRNA(+),10628,Viet Nam,Viet Nam,,Homo sapiens,blood,2022-11-20
OP954455,"Prakash,O., Khan,D.N., Verma,A.K., Mishra,V.K., Srivastava,A.K., Jain,A.","KGMU, Microbiology",India,2022-12-11T00:00:00Z,D2FP_TII448.ab1,Dengue virus,ssRNA(+),1125,India,India,,Homo sapiens,blood,2022-09-02
OP954456,"Prakash,O., Khan,D.N., Verma,A.K., Mishra,V.K., Srivastava,A.K., Jain,A.","KGMU, Microbiology",India,2022-12-11T00:00:00Z,D2FP_TIJ517.ab1,Dengue virus,ssRNA(+),995,India,India,,Homo sapiens,blood,2022-10-20
OP954457,"Prakash,O., Khan,D.N., Verma,A.K., Mishra,V.K., Srivastava,A.K., Jain,A.","KGMU, Microbiology",India,2022-12-11T00:00:00Z,D2FP_TIJ637.ab1,Dengue virus,ssRNA(+),1103,India,India,,Homo sapiens,blood,2022-10-20
OP954458,"Prakash,O., Khan,D.N., Verma,A.K., Mishra,V.K., Srivastava,A.K., Jain,A.","KGMU, Microbiology",India,2022-12-11T00:00:00Z,D2FP_TIJ864.ab1,Dengue virus,ssRNA(+),1048,India,India,,Homo sapiens,blood,2022-11-02
OP954459,"Prakash,O., Khan,D.N., Verma,A.K., Mishra,V.K., Srivastava,A.K., Jain,A.","KGMU, Microbiology",India,2022-12-11T00:00:00Z,D2FP_TIK161.ab1,Dengue virus,ssRNA(+),1042,India,India,,Homo sapiens,blood,2022-11-02
OP954460,"Prakash,O., Khan,D.N., Verma,A.K., Mishra,V.K., Srivastava,A.K., Jain,A.","KGMU, Microbiology",India,2022-12-11T00:00:00Z,D2FP_TIK435.ab1,Dengue virus,ssRNA(+),1024,India,India,,Homo sapiens,blood,2022-11-02
OP921000,"Doddamane,M., Ramachandra,S.","Bangalore University, Biotechnology",India,2022-12-05T00:00:00Z,NC_Sample-1_56_D2,Dengue virus,ssRNA(+),10595,India,India,,Homo sapiens,blood,2022-07-29
OP921001,"Doddamane,M., Ramachandra,S.","Bangalore University, Biotechnology",India,2022-12-05T00:00:00Z,NC_Sample-2_58_D2,Dengue virus,ssRNA(+),10674,India,India,,Homo sapiens,blood,2022-07-27
OP898559,"Umair,M., Rehman,Z., Haider,S.A., Salman,M., Ikram,A.","National Institute of Health, Department of Virology",Pakistan,2022-12-03T00:00:00Z,NIH-PAK-12/2022,Dengue virus,ssRNA(+),10497,Pakistan,Pakistan,,Homo sapiens,blood,2022-10
OP895917,"Nagy,O., Takacs,M., Nagy,A.","National Public Health Center, National Reference Laboratory for Viral Zoonoses",Hungary,2022-12-01T00:00:00Z,DENV2_9_2022,Dengue virus,ssRNA(+),10611,Maldives,Maldives,,Homo sapiens,blood,2021-12
OP895918,"Nagy,O., Takacs,M., Nagy,A.","National Public Health Center, National Reference Laboratory for Viral Zoonoses",Hungary,2022-12-01T00:00:00Z,DENV2_2202_2019,Dengue virus,ssRNA(+),10611,Cambodia,Cambodia,,Homo sapiens,blood,2019-04
OP895919,"Nagy,O., Takacs,M., Nagy,A.","National Public Health Center, National Reference Laboratory for Viral Zoonoses",Hungary,2022-12-01T00:00:00Z,DENV2_7030_2018,Dengue virus,ssRNA(+),10618,Malaysia,Malaysia,,Homo sapiens,blood,2018-11
OP811977,"Umair,M., Rehman,Z., Haider,S.A., Salman,M., Ikram,A.","National Institute of Health, Department of Virology",Pakistan,2022-11-19T00:00:00Z,NIH-PAK-01/2022,Dengue virus,ssRNA(+),10497,Pakistan,Pakistan,,Homo sapiens,blood,2022-04-27
OP811978,"Umair,M., Rehman,Z., Haider,S.A., Salman,M., Ikram,A.","National Institute of Health, Department of Virology",Pakistan,2022-11-19T00:00:00Z,NIH-PAK-02/2022,Dengue virus,ssRNA(+),10497,Pakistan,Pakistan,,Homo sapiens,blood,2022-04-27
OP811979,"Umair,M., Rehman,Z., Haider,S.A., Salman,M., Ikram,A.","National Institute of Health, Department of Virology",Pakistan,2022-11-19T00:00:00Z,NIH-PAK-04/2022,Dengue virus,ssRNA(+),10497,Pakistan,Pakistan,,Homo sapiens,blood,2022-04-28
OP811980,"Umair,M., Rehman,Z., Haider,S.A., Salman,M., Ikram,A.","National Institute of Health, Department of Virology",Pakistan,2022-11-19T00:00:00Z,NIH-PAK-05/2022,Dengue virus,ssRNA(+),10497,Pakistan,Pakistan,,Homo sapiens,blood,2022-04-28
OP811981,"Umair,M., Rehman,Z., Haider,S.A., Salman,M., Ikram,A.","National Institute of Health, Department of Virology",Pakistan,2022-11-19T00:00:00Z,NIH-PAK-06/2022,Dengue virus,ssRNA(+),10497,Pakistan,Pakistan,,Homo sapiens,blood,2022-10-18
OP811982,"Umair,M., Rehman,Z., Haider,S.A., Salman,M., Ikram,A.","National Institute of Health, Department of Virology",Pakistan,2022-11-19T00:00:00Z,NIH-PAK-07/2022,Dengue virus,ssRNA(+),10497,Pakistan,Pakistan,,Homo sapiens,blood,2022-09-13
OP811983,"Umair,M., Rehman,Z., Haider,S.A., Salman,M., Ikram,A.","National Institute of Health, Department of Virology",Pakistan,2022-11-19T00:00:00Z,NIH-PAK-08/2022,Dengue virus,ssRNA(+),10497,Pakistan,Pakistan,,Homo sapiens,blood,2022-09-28
OP811984,"Umair,M., Rehman,Z., Haider,S.A., Salman,M., Ikram,A.","National Institute of Health, Department of Virology",Pakistan,2022-11-19T00:00:00Z,NIH-PAK-09/2022,Dengue virus,ssRNA(+),10497,Pakistan,Pakistan,,Homo sapiens,blood,2022-09-30
OP808344,"Sharma,V., Satapathy,P., Kang,M., Sarkar,S., Dhingra,S., Bora,I., Kaur,K., Goel,K., Aggarwal,A., Arora,N., Ratho,R.K.","Post Graduate Institute of Medical Education & Research, RVRDL, Department of Virology",India,2022-11-16T00:00:00Z,PKL/CHD/22/2022,Dengue virus,ssRNA(+),1485,India,India,,Homo sapiens,blood,2022-09
OP808345,"Sharma,V., Satapathy,P., Kang,M., Sarkar,S., Dhingra,S., Bora,I., Kaur,K., Goel,K., Aggarwal,A., Arora,N., Ratho,R.K.","Post Graduate Institute of Medical Education & Research, RVRDL, Department of Virology",India,2022-11-16T00:00:00Z,PKL/CHD/36/2022,Dengue virus,ssRNA(+),1485,India,India,,Homo sapiens,blood,2022-09
OP808346,"Sharma,V., Satapathy,P., Kang,M., Sarkar,S., Dhingra,S., Bora,I., Kaur,K., Goel,K., Aggarwal,A., Arora,N., Ratho,R.K.","Post Graduate Institute of Medical Education & Research, RVRDL, Department of Virology",India,2022-11-16T00:00:00Z,PKL/CHD/46/2022,Dengue virus,ssRNA(+),1485,India,India,,Homo sapiens,blood,2022-09
OP808347,"Sharma,V., Satapathy,P., Kang,M., Sarkar,S., Dhingra,S., Bora,I., Kaur,K., Goel,K., Aggarwal,A., Arora,N., Ratho,R.K.","Post Graduate Institute of Medical Education & Research, RVRDL, Department of Virology",India,2022-11-16T00:00:00Z,PKL/CHD/25/2022,Dengue virus,ssRNA(+),1485,India,India,,Homo sapiens,blood,2022-09
OP808348,"Sharma,V., Satapathy,P., Kang,M., Sarkar,S., Dhingra,S., Bora,I., Kaur,K., Goel,K., Aggarwal,A., Arora,N., Ratho,R.K.","Post Graduate Institute of Medical Education & Research, RVRDL, Department of Virology",India,2022-11-16T00:00:00Z,PKL/CHD/49/2022,Dengue virus,ssRNA(+),1485,India,India,,Homo sapiens,blood,2022-09
OP808349,"Sharma,V., Satapathy,P., Kang,M., Sarkar,S., Dhingra,S., Bora,I., Kaur,K., Goel,K., Aggarwal,A., Arora,N., Ratho,R.K.","Post Graduate Institute of Medical Education & Research, RVRDL, Department of Virology",India,2022-11-16T00:00:00Z,PKL/CHD/39/2022,Dengue virus,ssRNA(+),1485,India,India,,Homo sapiens,blood,2022-09
OP808350,"Sharma,V., Satapathy,P., Kang,M., Sarkar,S., Dhingra,S., Bora,I., Kaur,K., Goel,K., Aggarwal,A., Arora,N., Ratho,R.K.","Post Graduate Institute of Medical Education & Research, RVRDL, Department of Virology",India,2022-11-16T00:00:00Z,PKL/CHD/26/2022,Dengue virus,ssRNA(+),1485,India,India,,Homo sapiens,blood,2022-09
OP808351,"Sharma,V., Satapathy,P., Kang,M., Sarkar,S., Dhingra,S., Bora,I., Kaur,K., Goel,K., Aggarwal,A., Arora,N., Ratho,R.K.","Post Graduate Institute of Medical Education & Research, RVRDL, Department of Virology",India,2022-11-16T00:00:00Z,PKL/CHD/50/2022,Dengue virus,ssRNA(+),1485,India,India,,Homo sapiens,blood,2022-09
OP808352,"Sharma,V., Satapathy,P., Kang,M., Sarkar,S., Dhingra,S., Bora,I., Kaur,K., Goel,K., Aggarwal,A., Arora,N., Ratho,R.K.","Post Graduate Institute of Medical Education & Research, RVRDL, Department of Virology",India,2022-11-16T00:00:00Z,PKL/CHD/41/2022,Dengue virus,ssRNA(+),1485,India,India,,Homo sapiens,blood,2022-09
OP808353,"Sharma,V., Satapathy,P., Kang,M., Sarkar,S., Dhingra,S., Bora,I., Kaur,K., Goel,K., Aggarwal,A., Arora,N., Ratho,R.K.","Post Graduate Institute of Medical Education & Research, RVRDL, Department of Virology",India,2022-11-16T00:00:00Z,PKL/CHD/27/2022,Dengue virus,ssRNA(+),1485,India,India,,Homo sapiens,blood,2022-09
OP808354,"Sharma,V., Satapathy,P., Kang,M., Sarkar,S., Dhingra,S., Bora,I., Kaur,K., Goel,K., Aggarwal,A., Arora,N., Ratho,R.K.","Post Graduate Institute of Medical Education & Research, RVRDL, Department of Virology",India,2022-11-16T00:00:00Z,PKL/CHD/52/2022,Dengue virus,ssRNA(+),1485,India,India,,Homo sapiens,blood,2022-09
OP808355,"Sharma,V., Satapathy,P., Kang,M., Sarkar,S., Dhingra,S., Bora,I., Kaur,K., Goel,K., Aggarwal,A., Arora,N., Ratho,R.K.","Post Graduate Institute of Medical Education & Research, RVRDL, Department of Virology",India,2022-11-16T00:00:00Z,PKL/CHD/42/2022,Dengue virus,ssRNA(+),1485,India,India,,Homo sapiens,blood,2022-09
OP808356,"Sharma,V., Satapathy,P., Kang,M., Sarkar,S., Dhingra,S., Bora,I., Kaur,K., Goel,K., Aggarwal,A., Arora,N., Ratho,R.K.","Post Graduate Institute of Medical Education & Research, RVRDL, Department of Virology",India,2022-11-16T00:00:00Z,PKL/CHD/03/2022,Dengue virus,ssRNA(+),1485,India,India,,Homo sapiens,blood,2022-09
OP809581,"Agrawal,T., Saraswat,S., Shashi,P., Ananthraj,A., Kumar,S., Chandele,A., Lodha,R., Singh,B., Medigeshi,G.R.","Translational Health Science and Technology Institute, Infection and Immunology",India,2022-11-16T00:00:00Z,THSTI-TRC-DENV2-10,Dengue virus,ssRNA(+),10619,India,India,,Homo sapiens,blood,2021
